Незнакомые слова в английском языке.

optional      - необязательный

stock         - склад
keeping       - хранящий
unit          - единица измерения
sku           - единица складского учета (Код SKU обычно содержит информацию о категории товара, производителе, цвете, размере и других характеристиках.)

frozen        - замороженный (неизменяемый)
branch        - партия
line          - строка заказа (в контексте OrderLine, Branch)
can           - мочь
allocate      - назначить, распределять, выделять
deallocate    - освобождать, отменить выделенное
available     - доступный
greater       - более значительный
required      - требуемый
large         - большой
small         - маленький

estimated     - по оценкам
time          - время
arrival       - прибытие
ETA           - предполагаемое время прибытия

different     - различный
only          - только
purchased     - приобретенный
property      - свойства, собственность
is idempotent - Идемпоте́нтность — свойство объекта или операции при повторном применении операции к объекту давать тот же результат
currency      - валюта
subtract      - вычитать, вычесть
prefers       - предпочитает
shipments     - отгрузки
earliest      - раннее, ранний срок
medium        - средний
latest        - самый последний
raises        - возбуждение исключения
cannot        - не могу



